first_fighter,second_fighter,result_1,result_2,date 
Matt-Hughes,Ricardo-Almeida,Win,Loss,2010-08-07
Roy-Nelson,Junior-Dos Santos,Loss,Win,2010-08-07
Dustin-Hazelett,Rick-Story,Loss,Win,2010-08-07
Rodney-Wallace,Phil-Davis,Loss,Win,2010-08-07
Johny-Hendricks,Charlie-Brenneman,Win,Loss,2010-08-07
Todd-Brown,Tim-Boetsch,Loss,Win,2010-08-07
Stefan-Struve,Christian-Morecraft,Win,Loss,2010-08-07
Ben-Saunders,Dennis-Hallman,Loss,Win,2010-08-07
Frankie-Edgar,BJ-Penn,Win,Loss,2010-08-29
Randy-Couture,James-Toney,Win,Loss,2010-08-29
Demian-Maia,Mario-Miranda,Win,Loss,2010-08-29
Kenny-Florian,Gray-Maynard,Loss,Win,2010-08-29
Nate-Diaz,Marcus-Davis,Win,Loss,2010-08-29
Joe-Lauzon,Gabe-Ruediger,Win,Loss,2010-08-29
Andre-Winner,Nik-Lentz,Loss,Win,2010-08-29
Dan-Miller,John-Salter,Win,Loss,2010-08-29
Nick-Osipczak,Greg-Soto,Loss,Win,2010-08-29
Mike-Pierce,Amilcar-Alves,Win,Loss,2010-08-29
Nate-Marquardt,Rousimar-Palhares,Win,Loss,2010-09-15
Efrain-Escudero,Charles-Oliveira,Loss,Win,2010-09-15
Jim-Miller,Gleison-Tibau,Win,Loss,2010-09-15
Cole-Miller,Ross-Pearson,Win,Loss,2010-09-15
Yves-Edwards,John-Gunderson,Win,Loss,2010-09-15
Jared-Hamman,Kyle-Kingsbury,Loss,Win,2010-09-15
Tomasz-Drwal,David-Branch,Loss,Win,2010-09-15
Rich-Attonito,Rafael-Natal,Win,Loss,2010-09-15
TJ-Waldburger,,Win,,2010-09-15
Brian-Foster,Forrest-Petz,Win,Loss,2010-09-15
Frank-Mir,Mirko-Cro Cop,Win,Loss,2010-09-25
Antonio Rogerio-Nogueira,Ryan-Bader,Loss,Win,2010-09-25
Matt-Serra,Chris-Lytle,Loss,Win,2010-09-25
Sean-Sherk,Evan-Dunham,Win,Loss,2010-09-25
Melvin-Guillard,Jeremy-Stephens,Win,Loss,2010-09-25
CB-Dollaway,Joe-Doerksen,Win,Loss,2010-09-25
Matt-Mitrione,Joey-Beltran,,Loss,2010-09-25
Thiago-Tavares,Pat-Audinwood,Win,Loss,2010-09-25
Steve-Lopez,Waylon-Lowe,Loss,Win,2010-09-25
TJ-Grant,Julio-Paulino,Win,Loss,2010-09-25
Mark-Hunt,Sean-McCorkle,Loss,Win,2010-09-25
Michael-Bisping,Yoshihiro-Akiyama,Win,Loss,2010-10-16
Dan-Hardy,Carlos-Condit,Loss,Win,2010-10-16
John-Hathaway,Mike-Pyle,Loss,Win,2010-10-16
Cheick-Kongo,Travis-Browne,Draw,Draw,2010-10-16
James-Wilks,Claude-Patrick,Loss,Win,2010-10-16
Cyrille-Diabate,Alexander-Gustafsson,Loss,Win,2010-10-16
Rob-Broughton,,Win,,2010-10-16
Paul-Sass,Mark-Holst,Win,Loss,2010-10-16
Spencer-Fisher,Curt-Warburton,Win,Loss,2010-10-16
James-McSweeney,Fabio-Maldonado,Loss,Win,2010-10-16
Brock-Lesnar,Cain-Velasquez,Loss,Win,2010-10-23
Jake-Shields,Martin-Kampmann,Win,Loss,2010-10-23
Diego-Sanchez,Paulo-Thiago,Win,Loss,2010-10-23
Tito-Ortiz,Matt-Hamill,Loss,Win,2010-10-23
Brendan-Schaub,Gabriel-Gonzaga,Win,Loss,2010-10-23
Court-McGee,Ryan-Jensen,Win,Loss,2010-10-23
Patrick-Cote,Tom-Lawlor,Loss,Win,2010-10-23
Mike-Guymon,Daniel-Roberts,Loss,Win,2010-10-23
Sam-Stout,Paul-Taylor,Win,Loss,2010-10-23
Chris-Camozzi,Dongi-Yang,Win,Loss,2010-10-23
Jon-Madsen,Gilbert-Yvel,Win,Loss,2010-10-23
Nate-Marquardt,Yushin-Okami,Loss,Win,2010-11-13
Dennis-Siver,Andre-Winner,Win,Loss,2010-11-13
Amir-Sadollah,Peter-Sobotta,Win,Loss,2010-11-13
Krzysztof-Soszynski,,Win,,2010-11-13
Duane-Ludwig,Nick-Osipczak,Win,Loss,2010-11-13
Vladimir-Matyushenko,Alexandre-Ferreira,Win,Loss,2010-11-13
Pascal-Krauss,Mark-Scanlon,Win,Loss,2010-11-13
Kyle-Noke,Rob-Kimmons,Win,Loss,2010-11-13
Seth-Petruzelli,Karlos-Vemola,Loss,Win,2010-11-13
Kris-McCray,Carlos Eduardo-Rocha,Loss,Win,2010-11-13
Rampage-Jackson,Lyoto-Machida,Win,Loss,2010-11-21
Matt-Hughes,BJ-Penn,Loss,Win,2010-11-21
Gerald-Harris,Maiquel-Falcao,Loss,Win,2010-11-21
Phil-Davis,Tim-Boetsch,Win,Loss,2010-11-21
George-Sotiropoulos,Joe-Lauzon,Win,Loss,2010-11-21
Matt-Brown,Brian-Foster,Loss,Win,2010-11-21
Aaron-Simpson,Mark-Munoz,Loss,Win,2010-11-21
Karo-Parisyan,Dennis-Hallman,Loss,Win,2010-11-21
Mike -Lullo,Edson-Barboza,Win,Loss,2010-11-21
Paul-Kelly,TJ-O'Brien,Win,Loss,2010-11-21
Tyson-Griffin,Nik-Lentz,Loss,Win,2010-11-21
,Michael-Johnson,Win,Loss,2010-12-05
Stephan-Bonnar,Igor-Pokrajac,Win,Loss,2010-12-05
Kendall-Grove,Demian-Maia,Loss,Win,2010-12-05
Nam-Phan,Leonard-Garcia,Loss,Win,2010-12-05
Cody-McKenzie,Aaron-Wilkinson,Win,Loss,2010-12-05
Ian-Loveland,Tyler-Toner,Loss,Win,2010-12-05
Sako-Chivitchian,Kyle-Watson,Loss,Win,2010-12-05
Will-Campuzano,Nick -Pace,Loss,Win,2010-12-05
Fredson-Paixao,Pablo-Garza,Loss,Win,2010-12-05
Rich-Attonito,David-Branch,Loss,Win,2010-12-05
Georges-St-Pierre,Josh-Koscheck,Win,Loss,2010-12-12
Stefan-Struve,Sean-McCorkle,Win,Loss,2010-12-12
Jim-Miller,Charles-Oliveira,Win,Loss,2010-12-12
Joe-Stevenson,Mac-Danzig,Loss,Win,2010-12-12
Thiago-Alves,John-Howard,Win,Loss,2010-12-12
Mark-Bocek,Dustin-Hazelett,Win,Loss,2010-12-12
Jesse-Bongfeldt,Rafael-Natal,Draw,Draw,2010-12-12
Matthew-Riddle,Sean-Pierson,Loss,Win,2010-12-12
Joe-Doerksen,Dan-Miller,Loss,Win,2010-12-12
TJ-Grant,Ricardo-Almeida,Loss,Win,2010-12-12
Pat-Audinwood,John-Makdessi,Loss,Win,2010-12-12
Frankie-Edgar,Gray-Maynard,Draw,Draw,2011-01-02
Chris-Leben,Brian-Stann,Loss,Win,2011-01-02
Brandon-Vera,,No Contest,No Contest,2011-01-02
Nate-Diaz,Dong Hyun-Ma,Loss,Win,2011-01-02
Clay-Guida,Takanori-Gomi,Win,Loss,2011-01-02
Jeremy-Stephens,Marcus-Davis,Loss,Win,2011-01-02
Dustin-Poirier,Josh-Grispi,Loss,Win,2011-01-02
Phil-Baroni,Brad-Tavares,Loss,Win,2011-01-02
Mike-Brown,Diego-Nunes,Loss,Win,2011-01-02
Daniel-Roberts,Greg-Soto,Win,Loss,2011-01-02
Jacob-Volkmann,Antonio-McKee,Win,Loss,2011-01-02
Melvin-Guillard,Evan-Dunham,Loss,Win,2011-01-23
Matt-Mitrione,Tim-Hague,Win,Loss,2011-01-23
Mark-Hominick,George-Roop,Win,Loss,2011-01-23
Pat-Barry,Joey-Beltran,Win,Loss,2011-01-23
Cole-Miller,Matt-Wiman,Loss,Win,2011-01-23
Cody-McKenzie,Yves-Edwards,Loss,Win,2011-01-23
DaMarques-Johnson,Mike-Guymon,Win,Loss,2011-01-23
Rani-Yahya,Mike-Brown,Loss,Win,2011-01-23
Waylon-Lowe,Willamy-Freire,Win,Loss,2011-01-23
Charlie-Brenneman,Amilcar-Alves,Win,Loss,2011-01-23
Will-Campuzano,Chris-Cariaso,Loss,Win,2011-01-23
Anderson-Silva,Vitor-Belfort,Win,Loss,2011-02-05
Forrest-Griffin,Rich-Franklin,Win,Loss,2011-02-05
Jon-Jones,Ryan-Bader,Win,Loss,2011-02-05
Jake-Ellenberger,Carlos Eduardo-Rocha,Win,Loss,2011-02-05
Miguel Angel-Torres,Antonio-Banuelos,Win,Loss,2011-02-05
Donald-Cerrone,Paul-Kelly,Win,Loss,2011-02-05
Chad-Mendes,Michihiro-Omigawa,Win,Loss,2011-02-05
Norifumi-Yamamoto,Demetrious-Johnson,Loss,Win,2011-02-05
Paul-Taylor,Gabe-Ruediger,Win,Loss,2011-02-05
Kyle-Kingsbury,Ricardo-Romero,Win,Loss,2011-02-05
Mike-Pierce,Kenny-Robertson,Win,Loss,2011-02-05
BJ-Penn,Jon-Fitch,Draw,Draw,2011-02-26
Michael-Bisping,Jorge-Rivera,Win,Loss,2011-02-26
George-Sotiropoulos,Dennis-Siver,Loss,Win,2011-02-26
Brian-Ebersole,Chris-Lytle,Win,Loss,2011-02-26
Chris-Camozzi,Kyle-Noke,Loss,Win,2011-02-26
Ross-Pearson,Spencer-Fisher,Win,Loss,2011-02-26
Alexander-Gustafsson,James-Te Huna,Win,Loss,2011-02-26
Nick-Ring,Riki-Fukuda,Win,Loss,2011-02-26
Tom-Blackledge,Anthony-Perosh,Loss,Win,2011-02-26
Tiequan-Zhang,Jason-Reinhardt,Win,Loss,2011-02-26
Mark-Hunt,Chris-Tuchscherer,Win,Loss,2011-02-26
,Curt-Warburton,,Win,2011-02-26
Diego-Sanchez,Martin-Kampmann,Win,Loss,2011-03-04
CB-Dollaway,Mark-Munoz,Loss,Win,2011-03-04
Alessio-Sakara,Chris-Weidman,Loss,Win,2011-03-04
Brian-Bowles,,Win,Loss,2011-03-04
Joe-Stevenson,Danny-Castillo,Loss,Win,2011-03-04
Steve-Cantwell,Cyrille-Diabate,Loss,Win,2011-03-04
Thiago-Tavares,Shane-Roller,Loss,Win,2011-03-04
Takeya-Mizugaki,Reuben-Duran,Win,Loss,2011-03-04
Rob-Kimmons,Dongi-Yang,Loss,Win,2011-03-04
David-Branch,Rousimar-Palhares,Win,Loss,2011-03-04
Igor-Pokrajac,Todd-Brown,Win,Loss,2011-03-04
Mauricio-Rua,Jon-Jones,Loss,Win,2011-03-20
Urijah-Faber,Eddie-Wineland,Win,Loss,2011-03-20
Jim-Miller,Kamal-Shalorus,Win,Loss,2011-03-20
Dan-Miller,Nate-Marquardt,Win,Loss,2011-03-20
Mirko-Cro Cop,Brendan-Schaub,Loss,Win,2011-03-20
Luiz-Cane,Eliot-Marshall,Win,Loss,2011-03-20
Edson-Barboza,Anthony-Njokuani,Win,Loss,2011-03-20
Ricardo-Almeida,Mike-Pyle,Loss,Win,2011-03-20
Kurt-Pellegrino,Gleison-Tibau,Loss,Win,2011-03-20
Joseph-Benavidez,Ian-Loveland,Win,Loss,2011-03-20
Erik-Koch,Raphael-Assuncao,Win,Loss,2011-03-20
Costas-Philippou,Nick-Catone,Win,Loss,2011-03-20
Phil-Davis,Antonio Rogerio-Nogueira,Loss,Win,2011-03-27
Anthony-Johnson,Dan-Hardy,Loss,Win,2011-03-27
DaMarques-Johnson,Amir-Sadollah,Win,Loss,2011-03-27
Chan Sung-Jung,Leonard-Garcia,Loss,Win,2011-03-27
Alex-Caceres,Mackens-Semerzier,Loss,Win,2011-03-27
Jon-Madsen,Mike-Russow,Loss,Win,2011-03-27
John-Hathaway,Kris-McCray,Win,Loss,2011-03-27
Michael-McDonald,Edwin-Figueroa,Win,Loss,2011-03-27
Sean-McCorkle,Christian-Morecraft,Loss,Win,2011-03-27
Johny-Hendricks,TJ-Waldburger,Win,Loss,2011-03-27
Mario-Miranda,Aaron-Simpson,Loss,Win,2011-03-27
Waylon-Lowe,Nik-Lentz,Loss,Win,2011-03-27
Georges-St-Pierre,Jake-Shields,Win,Loss,2011-04-30
Jose-Aldo,Mark-Hominick,Win,Loss,2011-04-30
Lyoto-Machida,Randy-Couture,Win,Loss,2011-04-30
Vladimir-Matyushenko,Jason-Brilz,Win,Loss,2011-04-30
Mark-Bocek,Benson-Henderson,Loss,Win,2011-04-30
Nate-Diaz,Rory-MacDonald,Loss,Win,2011-04-30
Jake-Ellenberger,Sean-Pierson,Win,Loss,2011-04-30
Daniel-Roberts,Claude-Patrick,Loss,Win,2011-04-30
Ivan-Menjivar,Charlie-Valencia,Win,Loss,2011-04-30
Jason-MacDonald,Ryan-Jensen,Win,Loss,2011-04-30
John-Makdessi,Kyle-Watson,Win,Loss,2011-04-30
Yves-Jabouin,Pablo-Garza,Loss,Win,2011-04-30
Rampage-Jackson,Matt-Hamill,Win,Loss,2011-05-29
Frank-Mir,Roy-Nelson,Win,Loss,2011-05-29
Stefan-Struve,Travis-Browne,Loss,Win,2011-05-29
Thiago-Alves,Rick-Story,Loss,Win,2011-05-29
Brian-Stann,Jorge-Santiago,Win,Loss,2011-05-29
Miguel Angel-Torres,Demetrious-Johnson,Loss,Win,2011-05-29
Kendall-Grove,Tim-Boetsch,Loss,Win,2011-05-29
Gleison-Tibau,Rafaello-Oliveira,Win,Loss,2011-05-29
Michael-McDonald,Chris-Cariaso,Win,Loss,2011-05-29
Cole-Escovedo,Renan-Barao,Win,Loss,2011-05-29
Ramsey-Nijem,Tony-Ferguson,Loss,Win,2011-06-05
Clay-Guida,Anthony-Pettis,Win,Loss,2011-06-05
Ed-Herman,Tim-Credeur,Win,Loss,2011-06-05
Fabio-Maldonado,Kyle-Kingsbury,Win,Loss,2011-06-05
Chuck -O'Neil,Chris-Cope,Loss,Win,2011-06-05
Dan-Downes,Jeremy-Stephens,Win,Loss,2011-06-05
Josh-Grispi,George-Roop,Loss,Win,2011-06-05
Ryan-McGilivray,Shamar-Bailey,Loss,Win,2011-06-05
Clay-Harvison,Justin-Edwards,Win,Loss,2011-06-05
Scott-Jorgensen,Ken-Stone,Win,Loss,2011-06-05
Reuben-Duran,Francisco-Rivera,Win,Loss,2011-06-05
Shane-Carwin,Junior-Dos Santos,Win,Loss,2011-06-12
Kenny-Florian,Diego-Nunes,Win,Loss,2011-06-12
Dave-Herman,John-Olav-Einemo,Loss,Win,2011-06-12
Mark-Munoz,Demian-Maia,Loss,Win,2011-06-12
Vagner-Rocha,Donald-Cerrone,Win,Loss,2011-06-12
Yves-Edwards,Sam-Stout,Win,Loss,2011-06-12
Jesse-Bongfeldt,Chris-Weidman,Loss,Win,2011-06-12
Mike-Massenzio,Krzysztof-Soszynski,Win,Loss,2011-06-12
Nick-Ring,James-Head,Win,Loss,2011-06-12
Dustin-Poirier,Jason-Young,Win,Loss,2011-06-12
Joey-Beltran,Aaron-Rosa,Win,Loss,2011-06-12
Darren-Elkins,Michihiro-Omigawa,Loss,Win,2011-06-12
Cheick-Kongo,Pat-Barry,Win,Loss,2011-06-27
Charlie-Brenneman,Rick-Story,Loss,Win,2011-06-27
Matt-Brown,John-Howard,Loss,Win,2011-06-27
Christian-Morecraft,Matt-Mitrione,Win,Loss,2011-06-27
Tyson-Griffin,Manny-Gamburyan,Win,Loss,2011-06-27
Joe-Stevenson,Javier-Vazquez,Loss,Win,2011-06-27
Joe-Lauzon,Curt-Warburton,Win,Loss,2011-06-27
Daniel-Roberts,Rich-Attonito,Loss,Win,2011-06-27
Nik-Lentz,Charles-Oliveira,No Contest,No Contest,2011-06-27
Ricardo-Lamas,Matt-Grice,Win,Loss,2011-06-27
Michael-Johnson,Edward-Faaloloto,Win,Loss,2011-06-27
Dominick-Cruz,Urijah-Faber,Win,Loss,2011-07-02
Wanderlei-Silva,Chris-Leben,Loss,Win,2011-07-02
Dennis-Siver,Matt-Wiman,Win,Loss,2011-07-02
Tito-Ortiz,Ryan-Bader,Win,Loss,2011-07-02
Carlos-Condit,Dong Hyun-Ma,Win,Loss,2011-07-02
Melvin-Guillard,Shane-Roller,Win,Loss,2011-07-02
George-Sotiropoulos,Rafael-Dos Anjos,Loss,Win,2011-07-02
Brian-Bowles,Takeya-Mizugaki,Win,Loss,2011-07-02
Brad-Tavares,Aaron-Simpson,Loss,Win,2011-07-02
Anthony-Njokuani,Andre-Winner,Win,Loss,2011-07-02
Jeff-Hougland,,Win,,2011-07-02
Rashad-Evans,Tito-Ortiz,Win,Loss,2011-08-07
Vitor-Belfort,Yoshihiro-Akiyama,Win,Loss,2011-08-07
Dennis-Hallman,Brian-Ebersole,Loss,Win,2011-08-07
Jorge-Rivera,Costas-Philippou,Loss,Win,2011-08-07
Rory-MacDonald,Mike-Pyle,Win,Loss,2011-08-07
Matt-Hamill,Alexander-Gustafsson,Loss,Win,2011-08-07
Chad-Mendes,Rani-Yahya,Win,Loss,2011-08-07
Ivan-Menjivar,Nick -Pace,Win,Loss,2011-08-07
Johny-Hendricks,Mike-Pierce,Win,Loss,2011-08-07
Mike-Brown,Nam-Phan,Win,Loss,2011-08-07
Rafael-Natal,,Win,,2011-08-07
Dan-Hardy,Chris-Lytle,Loss,Win,2011-08-15
Jim-Miller,Benson-Henderson,Loss,Win,2011-08-15
Donald-Cerrone,Charles-Oliveira,Loss,Win,2011-08-15
Amir-Sadollah,Duane-Ludwig,Loss,Win,2011-08-15
CB-Dollaway,Jared-Hamman,Loss,Win,2011-08-15
Joseph-Benavidez,Eddie-Wineland,Win,Loss,2011-08-15
Ed-Herman,Kyle-Noke,Win,Loss,2011-08-15
Ronny-Markes,Karlos-Vemola,Loss,Win,2011-08-15
Jimy-Hettes,Alex-Caceres,Loss,Win,2011-08-15
Cole-Miller,TJ-O'Brien,Win,Loss,2011-08-15
Jacob-Volkmann,Danny-Castillo,Win,Loss,2011-08-15
Edwin-Figueroa,Jason-Reinhardt,Win,Loss,2011-08-15
Anderson-Silva,Yushin-Okami,Win,Loss,2011-08-27
Mauricio-Rua,Forrest-Griffin,Win,Loss,2011-08-27
Ross-Pearson,Edson-Barboza,Loss,Win,2011-08-27
Minotauro-Nogueira,Brendan-Schaub,Win,Loss,2011-08-27
Luiz-Cane,Stanislav-Nedkov,Loss,Win,2011-08-27
Thiago-Tavares,Spencer-Fisher,Win,Loss,2011-08-27
Rousimar-Palhares,Dan-Miller,Win,Loss,2011-08-27
Paulo-Thiago,,Win,,2011-08-27
Raphael-Assuncao,Johnny-Eduardo,Win,Loss,2011-08-27
Erick-Silva,Luis-Ramos,Win,Loss,2011-08-27
Iuri-Alcantara,Felipe-Arantes,Win,Loss,2011-08-27
Yves-Jabouin,Ian-Loveland,Win,Loss,2011-08-27
Jake-Shields,Jake-Ellenberger,Loss,Win,2011-09-17
Court-McGee,Dongi-Yang,Win,Loss,2011-09-17
,Erik-Koch,,Win,2011-09-17
Alan-Belcher,Jason-MacDonald,Win,Loss,2011-09-17
Cody-McKenzie,Vagner-Rocha,Loss,Win,2011-09-17
Evan-Dunham,Shamar-Bailey,Win,Loss,2011-09-17
Matthew-Riddle,Lance-Benoist,Loss,Win,2011-09-17
Ken-Stone,,Win,,2011-09-17
Clay-Harvison,Seth-Baczynski,Loss,Win,2011-09-17
TJ-Waldburger,Mike-Stumpf,Win,Loss,2011-09-17
Robbie -Peralta,Mike -Lullo,Win,Loss,2011-09-17
Justin-Edwards,Jorge-Lopez,Win,Loss,2011-09-17
Jon-Jones,Rampage-Jackson,Win,Loss,2011-09-25
Matt-Hughes,Josh-Koscheck,Loss,Win,2011-09-25
Travis-Browne,Rob-Broughton,Win,Loss,2011-09-25
Nate-Diaz,Takanori-Gomi,Win,Loss,2011-09-25
Ben-Rothwell,Mark-Hunt,Loss,Win,2011-09-25
Tony-Ferguson,Aaron-Riley,Win,Loss,2011-09-25
Nick-Ring,Tim-Boetsch,Loss,Win,2011-09-25
Junior-Assuncao,Eddie-Yagin,Win,Loss,2011-09-25
Takeya-Mizugaki,Cole-Escovedo,Win,Loss,2011-09-25
James-Te Huna,Ricardo-Romero,Win,Loss,2011-09-25
Dominick-Cruz,Demetrious-Johnson,Win,Loss,2011-10-01
Pat-Barry,Stefan-Struve,Loss,Win,2011-10-01
Anthony-Johnson,Charlie-Brenneman,Win,Loss,2011-10-01
Matt-Wiman,Mac-Danzig,Win,Loss,2011-10-01
Yves-Edwards,Rafaello-Oliveira,Win,Loss,2011-10-01
Michael-Johnson,Paul-Sass,Loss,Win,2011-10-01
Mike-Easton,Byron-Bloodworth,Win,Loss,2011-10-01
Shane-Roller,TJ-Grant,Loss,Win,2011-10-01
Josh-Neer,Keith-Wisniewski,Win,Loss,2011-10-01
Walel-Watson,Joseph-Sandoval,Win,Loss,2011-10-01
Frankie-Edgar,Gray-Maynard,Win,Loss,2011-10-09
Jose-Aldo,Kenny-Florian,Win,Loss,2011-10-09
Chael-Sonnen,Brian-Stann,Win,Loss,2011-10-09
Leonard-Garcia,Nam-Phan,Loss,Win,2011-10-09
Melvin-Guillard,Joe-Lauzon,Loss,Win,2011-10-09
Demian-Maia,Jorge-Santiago,Win,Loss,2011-10-09
Anthony-Pettis,Jeremy-Stephens,Win,,2011-10-09
Joey-Beltran,Stipe-Miocic,Loss,Win,2011-10-09
Tiequan-Zhang,Darren-Elkins,Loss,Win,2011-10-09
Aaron-Simpson,Eric-Schafer,Win,Loss,2011-10-09
Steve-Cantwell,Mike-Massenzio,Loss,Win,2011-10-09
BJ-Penn,Nick-Diaz,Loss,Win,2011-10-29
Cheick-Kongo,Matt-Mitrione,Win,Loss,2011-10-29
Mirko-Cro Cop,Roy-Nelson,Loss,Win,2011-10-29
Scott-Jorgensen,Jeff-Curran,Win,Loss,2011-10-29
Hatsu-Hioki,George-Roop,Win,Loss,2011-10-29
Dennis-Siver,Donald-Cerrone,Loss,Win,2011-10-29
Tyson-Griffin,Bart-Palaszewski,Loss,Win,2011-10-29
Brandon-Vera,Eliot-Marshall,Win,Loss,2011-10-29
Ramsey-Nijem,Dan-Downes,Win,Loss,2011-10-29
Chris-Camozzi,Francis-Carmont,Loss,Win,2011-10-29
Dustin-Jacoby,Clifford-Starks,Loss,Win,2011-10-29
Chris-Leben,Mark-Munoz,Loss,Win,2011-11-05
Brad-Pickett,Renan-Barao,Loss,Win,2011-11-05
Thiago-Alves,Papy -Abedi,Win,Loss,2011-11-05
Cyrille-Diabate,Anthony-Perosh,Loss,Win,2011-11-05
Terry-Etim,Edward-Faaloloto,Win,Loss,2011-11-05
John-Maguire,Justin-Edwards,Win,Loss,2011-11-05
Rob-Broughton,Phil-De Fries,Loss,Win,2011-11-05
Michihiro-Omigawa,Jason-Young,Win,Loss,2011-11-05
Chris-Cope,Che-Mills,Loss,Win,2011-11-05
Chris-Cariaso,Vaughan-Lee,Win,Loss,2011-11-05
Cain-Velasquez,Junior-Dos Santos,Loss,Win,2011-11-12
Clay-Guida,Benson-Henderson,Loss,Win,2011-11-12
Dustin-Poirier,Pablo-Garza,Win,Loss,2011-11-12
Cub-Swanson,Ricardo-Lamas,Loss,Win,2011-11-12
DaMarques-Johnson,Clay-Harvison,Win,Loss,2011-11-12
Norifumi-Yamamoto,Darren-Uyenoyama,Loss,Win,2011-11-12
Mackens-Semerzier,Robbie -Peralta,No Contest,No Contest,2011-11-12
Alex-Caceres,Cole-Escovedo,Win,Loss,2011-11-12
Mike-Pierce,,Win,,2011-11-12
Aaron-Rosa,Matt -Lucas,Win,Loss,2011-11-12
Mauricio-Rua,Dan-Henderson,Loss,Win,2011-11-20
Wanderlei-Silva,Cung-Le,Win,Loss,2011-11-20
Urijah-Faber,Brian-Bowles,Win,Loss,2011-11-20
Rick-Story,Martin-Kampmann,Win,Loss,2011-11-20
Stephan-Bonnar,Kyle-Kingsbury,Win,Loss,2011-11-20
Ryan-Bader,Jason-Brilz,Win,Loss,2011-11-20
Michael-McDonald,Alex-Soto,Win,Loss,2011-11-20
Tom-Lawlor,Chris-Weidman,Loss,Win,2011-11-20
Gleison-Tibau,Rafael-Dos Anjos,Win,Loss,2011-11-20
Miguel Angel-Torres,Nick -Pace,Win,Loss,2011-11-20
Matt-Brown,Seth-Baczynski,Loss,Win,2011-11-20
Danny-Castillo,Shamar-Bailey,Loss,Win,2011-11-20
Michael-Bisping,Jason-Miller,Win,Loss,2011-12-04
Diego-Brandao,Dennis-Bermudez,Win,Loss,2011-12-04
TJ-Dillashaw,John-Dodson,Loss,Win,2011-12-04
Tony-Ferguson,Yves-Edwards,Win,Loss,2011-12-04
Louis-Gaudinot,Johnny -Bedford,Loss,Win,2011-12-04
Marcus-Brimage,Stephen-Bass,Win,Loss,2011-12-04
Dustin-Pague,John-Albert,Loss,Win,2011-12-04
Roland-Delorme,Josh-Ferguson,Win,Loss,2011-12-04
Steven-Siler,Josh -Clopton,Win,Loss,2011-12-04
Bryan-Caraway,Dustin-Neace,,Loss,2011-12-04
Jon-Jones,Lyoto-Machida,Win,Loss,2011-12-10
Frank-Mir,Minotauro-Nogueira,Win,Loss,2011-12-10
Tito-Ortiz,Antonio Rogerio-Nogueira,Loss,Win,2011-12-10
Claude-Patrick,Brian-Ebersole,Loss,Win,2011-12-10
Mark-Hominick,Chan Sung-Jung,Loss,Win,2011-12-10
Krzysztof-Soszynski,Igor-Pokrajac,Loss,Win,2011-12-10
Jared-Hamman,Costas-Philippou,Loss,Win,2011-12-10
John-Makdessi,Dennis-Hallman,Loss,Win,2011-12-10
Walel-Watson,Yves-Jabouin,Loss,Win,2011-12-10
Mark-Bocek,Nik-Lentz,Win,Loss,2011-12-10
Rich-Attonito,Jake-Hecht,Loss,Win,2011-12-10
Mitch-Clarke,John -Cholish,Loss,Win,2011-12-10
Brock-Lesnar,Alistair-Overeem,Loss,Win,2011-12-30
Nate-Diaz,Donald-Cerrone,Win,Loss,2011-12-30
Jon-Fitch,Johny-Hendricks,Loss,Win,2011-12-30
Vladimir-Matyushenko,Alexander-Gustafsson,Loss,Win,2011-12-30
Nam-Phan,Jimy-Hettes,Loss,Win,2011-12-30
Ross-Pearson,Junior-Assuncao,Win,Loss,2011-12-30
Anthony-Njokuani,Danny-Castillo,Loss,Win,2011-12-30
Dong Hyun-Ma,Sean-Pierson,Win,Loss,2011-12-30
Jacob-Volkmann,Efrain-Escudero,Win,Loss,2011-12-30
Manny-Gamburyan,Diego-Nunes,Loss,Win,2011-12-30
Jose-Aldo,Chad-Mendes,Win,Loss,2012-01-14
Vitor-Belfort,Anthony-Johnson,Win,Loss,2012-01-14
Rousimar-Palhares,Mike-Massenzio,Win,Loss,2012-01-14
Erick-Silva,Carlo-Prater,Loss,Win,2012-01-14
Edson-Barboza,Terry-Etim,Win,Loss,2012-01-14
Thiago-Tavares,Sam-Stout,Win,Loss,2012-01-14
Gabriel-Gonzaga,Ednaldo-Oliveira,Win,Loss,2012-01-14
Iuri-Alcantara,Michihiro-Omigawa,Win,Loss,2012-01-14
Ricardo-Funch,Mike-Pyle,Loss,Win,2012-01-14
Felipe-Arantes,Antonio-Carvalho,Win,Loss,2012-01-14
Melvin-Guillard,Jim-Miller,Loss,Win,2012-01-20
Duane-Ludwig,Josh-Neer,Loss,Win,2012-01-20
Mike-Easton,Jared-Papazian,Win,Loss,2012-01-20
Pat-Barry,Christian-Morecraft,Win,Loss,2012-01-20
Jorge-Rivera,Eric-Schafer,Win,Loss,2012-01-20
Kamal-Shalorus,Khabib-Nurmagomedov,Loss,Win,2012-01-20
Charlie-Brenneman,Daniel-Roberts,Win,Loss,2012-01-20
Fabricio-Camoes,Tommy-Hayden,Win,Loss,2012-01-20
Daniel-Pineda,Pat-Schilling,Win,Loss,2012-01-20
Joseph-Sandoval,Nick-Denis,Loss,Win,2012-01-20
Rashad-Evans,Phil-Davis,Win,Loss,2012-01-28
Chael-Sonnen,Michael-Bisping,Win,Loss,2012-01-28
Demian-Maia,Chris-Weidman,Loss,Win,2012-01-28
